Frequency (in um-1),Absorption
0.779140802049463,0.028920246445354816
0.7803724504877328,0.024404245561844617
0.7816040989260026,0.022347897041125716
0.7828357473642724,0.0211475420546433
0.7840673958025421,0.020421669828839924
0.7852990442408119,0.020031831083695325
0.7865306926790817,0.019925313973090816
0.7877623411173515,0.020097109451097543
0.7889939895556213,0.020583286712822457
0.790225637993891,0.021471830326560738
0.7914572864321608,0.022936017375527695
0.7926889348704307,0.02531507447333135
0.7939205833087004,0.029318579217489697
0.7951522317469701,0.03661545400201478
0.79638388018524,0.05189128610809892
0.7976155286235097,0.09231593138400748
0.7988471770617795,0.24664831837505138
0.8000788255000493,0.5004593230788115
0.8013104739383191,0.15502340730478426
0.8025421223765888,0.06526392504409012
0.8037737708148587,0.0417205877114949
0.8050054192531284,0.03552229474286761
0.8062370676913982,0.030982124522226335
