Frequency (in um-1),Absorption,Absorption (for 5-nm round-off result)
0.6884698696779233,0.38838687875443645,0.42594252032513613
0.6896061929618976,0.3812607469929846,0.41790955023843473
0.6907425162458719,0.37558258548149287,0.4114414718694407
0.6918788395298462,0.3689142231049258,0.4039486294842804
0.6930151628138205,0.3624626810164387,0.39670895129063233
0.6941514860977948,0.3573661978241487,0.3909311494118031
0.695287809381769,0.3513003363041482,0.3841416442677418
0.6964241326657433,0.3454192987707656,0.37756560133183753
0.6975604559497176,0.34074547492849466,0.3722907703640151
0.698696779233692,0.3351951314149529,0.366096248257964
0.6998331025176663,0.3298046745987034,0.3600843441973377
0.7009694258016406,0.3256154749610775,0.3553648629705496
0.7021057490856148,0.3205114322007601,0.34967969648899316
0.7032420723695891,0.31554773284724374,0.3441530527131006
0.7043783956535634,0.31395035881218913,0.3422286966766408
